Unnamed: 0,id,release_date,vote_average,vote_count,revenue,runtime,original_language,original_title,popularity
69,767304,2021/01/08,6.7,150.0,0.0,100.0,en,Redemption Day,360.237
70,525660,2021/04/29,6.7,71.0,0.0,117.0,cn,真·三国无双,372.423
71,840756,2021/06/15,6.3,3.0,0.0,89.0,es,Mi otra yo,501.068
72,482373,2021/08/12,7.7,1114.0,45000000.0,98.0,en,Don't Breathe 2,366.157
73,423108,2021/05/25,7.8,3856.0,199166992.0,111.0,en,The Conjuring: The Devil Made Me Do It,311.759
74,522402,2021/11/04,8.0,522.0,0.0,115.0,en,Finch,
75,453354,2017/06/21,6.0,121.0,0.0,106.0,fr,Ava,367.131
76,725273,2020/08/31,5.8,59.0,0.0,89.0,en,Solitary,347.349
77,685274,2021/06/11,8.1,57.0,0.0,96.0,ja,機動戦士ガンダム 閃光のハサウェイ,371.425
78,859860,2021/09/10,5.6,67.0,0.0,89.0,en,Catch the Bullet,363.643
79,825997,2021/06/11,6.4,101.0,0.0,94.0,en,Rogue Hostage,340.663
80,755812,2020/11/21,8.3,812.0,0.0,55.0,fr,"Miraculous World : New York, les héros unis",326.392
81,719164,2021/04/08,6.1,14.0,0.0,90.0,en,Women,219.924
82,602223,2021/06/30,7.4,1396.0,76981630.0,103.0,en,The Forever Purge,321.093
83,595743,2021/08/11,6.0,259.0,0.0,120.0,en,SAS: Red Notice,328.657
84,741636,2021/04/23,6.6,16.0,0.0,82.0,en,Bloodthirsty,334.459
85,1930,2012/06/23,6.6,13495.0,757930663.0,136.0,en,The Amazing Spider-Man,369.323
86,641501,2020/11/19,6.1,292.0,0.0,101.0,fr,Comment je suis devenu super-héros,320.168
87,848278,2021/08/26,5.0,153.0,0.0,83.0,en,Jurassic Hunt,305.718
88,13811,2009/03/19,6.1,4067.0,155446362.0,121.0,en,Knowing,314.469
89,813258,2021/04/02,7.5,254.0,0.0,6.0,en,Monster Pets: A Hotel Transylvania Short,307.614
90,512195,2021/11/05,7.4,19.0,0.0,116.0,en,Red Notice,282.641
91,672322,2021/06/04,7.9,202.0,0.0,138.0,ja,るろうに剣心 最終章 The Beginning,310.225
92,592350,2019/12/20,8.5,816.0,29900850.0,104.0,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,326.465
93,878962,2021/10/15,3.7,3.0,0.0,24.0,en,Sharkdog’s Fintastic Halloween,261.208
94,763873,2021/10/01,7.1,41.0,0.0,91.0,en,Under Wraps,273.852
95,843906,2021/09/14,8.3,221.0,0.0,72.0,en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,310.694
96,527774,2021/03/03,8.1,4514.0,130000000.0,107.0,en,Raya and the Last Dragon,308.607
97,299536,2018/04/25,8.3,23027.0,2046239637.0,149.0,en,Avengers: Infinity War,307.188
98,613504,2020/09/02,7.3,4262.0,42000000.0,105.0,en,After We Collided,299.644
99,539885,2020/07/02,5.7,1785.0,2987741.0,96.0,en,Ava,302.664
100,597316,2021/09/23,8.1,131.0,0.0,91.0,en,My Little Pony: A New Generation,316.848
101,522444,2020/07/09,5.1,284.0,0.0,98.0,en,Black Water: Abyss,274.301
102,680319,2021/04/23,5.7,12.0,0.0,82.0,en,We Broke Up,272.144
103,458576,2020/12/03,6.9,2236.0,25814306.0,104.0,en,Monster Hunter,273.173
104,613583,2021/06/02,5.4,27.0,0.0,83.0,fr,Chacun chez soi,257.834
105,36419,2009/11/07,6.1,803.0,3606395.0,104.0,en,After.Life,387.777
106,632357,2021/03/31,6.9,1410.0,30763855.0,99.0,en,The Unholy,263.412
107,861057,2021/08/13,7.4,16.0,0.0,87.0,en,Swim,273.818
108,597891,2021/09/10,6.8,740.0,0.0,106.0,en,Kate,270.225
109,846214,2021/07/07,7.6,431.0,0.0,6.0,en,"The Simpsons: The Good, the Bart, and the Loki",276.105
110,482321,2021/10/15,7.3,41.0,46000000.0,106.0,en,Ron's Gone Wrong,287.164
111,529203,2020/11/25,7.6,2621.0,168285000.0,95.0,en,The Croods: A New Age,277.639
112,678580,2021/07/15,8.3,286.0,0.0,86.0,es,El mesero,249.461
113,734265,2021/11/05,6.6,170.0,0.0,105.0,en,Love Hard,279.451
114,568124,2021/11/24,0.0,0.0,0.0,99.0,en,Encanto,265.395
115,324786,2016/10/07,8.2,10136.0,175302354.0,139.0,en,Hacksaw Ridge,233.039
116,839100,2021/10/12,6.2,22.0,0.0,80.0,ja,ブライト: サムライソウル,240.726
117,20982,2007/08/04,7.3,382.0,0.0,94.0,ja,劇場版 NARUTO -ナルト- 疾風伝,
